,School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION,School ID
58,University of Wisconsin (UW)   Milwaukee,42300,74600,123000,325833,1021,179.73,2.49,14.37,191.59,851.13,48.74,1,65
59,Georgia Institute of Technology,58300,106000,183000,327568,1026,143.01,2.64,15.43,152.45,806.85,52.5,0,66
60,Emory University,52000,91600,192000,327568,1026,143.01,2.64,15.43,152.45,806.85,52.5,0,67
61,Georgia State University,41800,74000,145000,327568,1026,143.01,2.64,15.43,152.45,806.85,52.5,0,68
62,Louisiana State University (LSU),46900,87800,165000,302584,947.86,137.65,2.42,14.2,146.73,852.64,54.25,0,69
63,Rice University,64000,110000,216000,363656,1139,185.43,2.54,12.74,197.66,684.51,48.64,0,70
64,University of Houston (UH),46000,79900,141000,363656,1139,185.43,2.54,12.74,197.66,684.51,48.64,0,71
65,University of Vermont (UVM),44800,82700,194000,509743,1597,199.68,2.92,16.43,212.86,784.34,55.18,4,72
66,Yale University,59100,126000,326000,467409,1464,181.74,2.76,18.83,193.73,875.16,63.1,4,74
67,University of Notre Dame,56300,116000,235000,67630,211.86,149.72,2.4,13.63,159.6,755.82,48.18,1,75
68,"California State University, Long Beach (CSULB)",45100,84700,154000,788384,2470,180.74,3.42,16.45,192.66,824.87,54.97,3,76
69,Minnesota State University   Mankato,43300,74700,140000,251228,786.99,152.57,2.56,14.68,162.64,893.16,53.63,1,77
70,University of Texas (UT)   Austin,49700,93900,188000,353246,1107,147.04,2.44,12.88,156.74,746.06,51.88,0,78
71,Virginia Polytechnic Institute and State University (Virginia Tech),53500,95400,163000,229714,719.59,197.34,2.3,12.95,210.35,833.88,51.93,0,79
72,Eastern Michigan University,40300,72100,135000,199501,624.95,157.1,2.57,16.2,167.46,935.2,48.9,1,80
73,Boise State University (BSU),40800,69500,110000,305013,955.47,143.68,2.81,13.14,153.16,776.07,48.07,2,81
74,University of Massachusetts (UMass)   Lowell,45400,86600,158000,448032,1403,201.36,2.99,16.27,214.64,901.42,66.24,4,83
75,University of Southern Maine,39400,63600,117000,433403,1358,195.49,2.82,14.73,208.39,808.35,56.77,4,84
76,San Jose State University (SJSU),53500,95600,156000,860907,2697,210.75,2.91,17.72,224.65,871.39,55.07,3,85
77,Colorado School of Mines,58100,106000,201000,544805,1707,156.76,2.75,14.37,167.1,790.34,55.28,2,86
78,Vanderbilt University,51200,104000,222000,316117,990.26,150.73,2.62,14.23,160.67,613.21,53.37,0,87
